Date,Open,High,Low,Close,Daily_Return,Volume
03/07/2018," Rp551,709 "," Rp558,838 "," Rp551,218 "," Rp557,724 ",0.00386813,36
05/07/2018," Rp559,866 "," Rp560,668 "," Rp559,018 "," Rp560,668 ",0.005279016,9
06/07/2018," Rp557,928 "," Rp557,928 "," Rp557,395 "," Rp557,395 ",-0.005838514,7
09/07/2018," Rp560,787 "," Rp562,614 "," Rp560,564 "," Rp560,742 ",0.006004792,37
10/07/2018," Rp560,016 "," Rp560,328 "," Rp556,940 "," Rp558,946 ",-0.00320213,65
11/07/2018," Rp560,976 "," Rp560,976 "," Rp556,320 "," Rp556,320 ",-0.004698619,30
12/07/2018," Rp555,470 "," Rp558,066 "," Rp555,470 "," Rp557,305 ",0.001770157,7
13/07/2018," Rp557,171 "," Rp558,200 "," Rp554,888 "," Rp554,888 ",-0.004337369,2
16/07/2018," Rp564,202 "," Rp564,702 "," Rp562,114 "," Rp562,114 ",0.013022519,2
17/07/2018," Rp548,666 "," Rp548,666 "," Rp548,666 "," Rp548,666 ",-0.02392428,0
18/07/2018," Rp549,113 "," Rp549,113 "," Rp547,099 "," Rp548,934 ",0.000489596,67
19/07/2018," Rp549,337 "," Rp549,695 "," Rp542,399 "," Rp547,188 ",-0.003180318,33
20/07/2018," Rp550,367 "," Rp550,367 "," Rp550,367 "," Rp550,367 ",0.005808226,0
23/07/2018," Rp553,492 "," Rp554,398 "," Rp553,492 "," Rp554,398 ",0.007324518,1
24/07/2018," Rp553,762 "," Rp553,762 "," Rp553,762 "," Rp553,762 ",-0.001146328,0
25/07/2018," Rp560,125 "," Rp560,125 "," Rp560,125 "," Rp560,125 ",0.011489964,0
26/07/2018," Rp560,066 "," Rp560,066 "," Rp558,926 "," Rp558,926 ",-0.002140442,1
27/07/2018," Rp559,542 "," Rp559,542 "," Rp559,542 "," Rp559,542 ",0.001101757,254428
30/07/2018," Rp564,016 "," Rp564,662 "," Rp561,986 "," Rp563,462 ",0.007006842,62239
31/07/2018," Rp561,752 "," Rp565,297 "," Rp558,346 "," Rp563,271 ",-0.000339131,2722
01/08/2018," Rp564,083 "," Rp564,452 "," Rp560,162 "," Rp561,776 ",-0.002654185,1026
02/08/2018," Rp560,535 "," Rp562,657 "," Rp556,428 "," Rp558,643 ",-0.005578265,411
03/08/2018," Rp558,574 "," Rp564,176 "," Rp557,926 "," Rp562,139 ",0.006258026,784
06/08/2018," Rp561,404 "," Rp561,404 "," Rp557,798 "," Rp558,722 ",-0.006077516,297
07/08/2018," Rp555,564 "," Rp558,784 "," Rp555,564 "," Rp556,392 ",-0.004170177,715
08/08/2018," Rp557,652 "," Rp559,124 "," Rp554,845 "," Rp557,928 ",0.002760436,209
09/08/2018," Rp561,301 "," Rp561,671 "," Rp559,961 "," Rp560,100 ",0.003892271,44
10/08/2018," Rp560,494 "," Rp562,297 "," Rp557,304 "," Rp559,847 ",-0.000451603,75
13/08/2018," Rp558,223 "," Rp558,408 "," Rp550,962 "," Rp550,962 ",-0.015869818,78
14/08/2018," Rp551,334 "," Rp553,368 "," Rp551,196 "," Rp551,288 ",0.000591579,92
15/08/2018," Rp548,599 "," Rp548,737 "," Rp542,502 "," Rp543,842 ",-0.013507488,71
16/08/2018," Rp542,289 "," Rp545,525 "," Rp536,835 "," Rp543,676 ",-0.00030443,123
17/08/2018," Rp545,400 "," Rp548,418 "," Rp545,400 "," Rp546,236 ",0.00470779,66
20/08/2018," Rp551,118 "," Rp553,536 "," Rp550,932 "," Rp552,048 ",0.010640868,68
21/08/2018," Rp553,635 "," Rp554,938 "," Rp553,635 "," Rp554,938 ",0.005234309,22
22/08/2018," Rp559,544 "," Rp560,294 "," Rp559,544 "," Rp560,294 ",0.009652184,17
23/08/2018," Rp556,090 "," Rp556,558 "," Rp554,033 "," Rp555,015 ",-0.009422341,95
24/08/2018," Rp551,236 "," Rp561,793 "," Rp551,236 "," Rp561,002 ",0.01078807,12
27/08/2018," Rp565,197 "," Rp565,711 "," Rp562,815 "," Rp564,590 ",0.006395436,154
28/08/2018," Rp560,483 "," Rp563,865 "," Rp557,055 "," Rp559,417 ",-0.009161538,136
29/08/2018," Rp558,088 "," Rp558,088 "," Rp556,792 "," Rp557,764 ",-0.002955674,817
30/08/2018," Rp558,421 "," Rp558,514 "," Rp554,066 "," Rp554,854 ",-0.005217487,493
31/08/2018," Rp562,306 "," Rp562,818 "," Rp558,579 "," Rp559,138 ",0.007721047,191
04/09/2018," Rp557,338 "," Rp557,338 "," Rp555,517 "," Rp556,825 ",-0.004137244,26
05/09/2018," Rp555,389 "," Rp557,019 "," Rp555,389 "," Rp556,507 ",-0.000570133,21
